stop_id;stop_name;x_coor;y_coor
8600621;" ""Albertslund st""";710926;6173120
8600681;" ""Allerød st""";710024;6196816
8600765;" ""Avedøre st""";717467;6169778
8600692;" ""Bagsværd st""";716665;6184978
8600708;" ""Ballerup st""";710867;6181125
8600672;" ""Bernstorffsvej st""";723290;6183215
8600678;" ""Birkerød st""";714380;6193632
8600739;" ""Bispebjerg st""";722504;6179082
8600766;" ""Brøndby Strand st""";715502;6169207
8600679;" ""Brøndbyøster st""";716363;6174170
8600690;" ""Buddinge st""";719285;6183494
8600657;" ""Charlottenlund st""";724159;6184241
8600742;" ""Danshøj st""";719732;6174250
8600634;" ""Dybbølsbro st""";723864;6174522
8600780;" ""Dyssegård st""";721985;6181986
8600688;" ""Emdrup st""";722362;6180696
8600631;" ""Carlsberg St.""";722480;6174276
8600696;" ""Farum st""";711375;6190309
8600736;" ""Flintholm st""";719923;6176619
8600714;" ""Frederikssund st""";691973;6192057
8600764;" ""Friheden st""";719227;6170279
8600640;" ""Fuglebakken st""";721671;6177822
8600673;" ""Gentofte st""";722235;6184327
8600956;" ""Gl. Toftegård st""";699761;6186183
8600622;" ""Glostrup st""";713709;6173825
8600770;" ""Greve st""";707715;6164402
8600641;" ""Grøndal st""";720983;6177264
8600694;" ""Hareskov st""";713662;6185292
8600655;" ""Hellerup st""";723997;6181910
8600706;" ""Herlev st""";716283;6180170
8600683;" ""Hillerød st""";706842;6202899
8600677;" ""Holte st""";717367;6190120
8600769;" ""Hundige st""";710009;6166321
8600705;" ""Husum st""";717614;6179176
8600600;" ""Hvidovre st""";718512;6174215
8600798;" ""Høje Taastrup st""";705705;6171840
8600768;" ""Ishøj st""";711469;6168168
8600704;" ""Islev st""";718005;6178094
8600791;" ""Jersie st""";702537;6157412
8600734;" ""Jyllingevej st""";718545;6177149
8600674;" ""Jægersborg st""";720931;6185165
8600771;" ""Karlslunde st""";706108;6162662
8600740;" ""KB Hallen st""";719567;6175768
8600781;" ""Kildebakke st""";720210;6183232
8600955;" ""Kildedal st""";706249;6183365
8600659;" ""Klampenborg st""";724989;6187138
8600626;" ""København H""";724212;6175458
8600803;" ""Køge st""";701462;6150325
8600797;" ""Køge Nord st""";700469;6154919
8600701;" ""Langgade st""";720376;6174592
8600675;" ""Lyngby st""";719737;6185825
8600756;" ""Malmparken st""";712633;6180627
8600709;" ""Måløv st""";708261;6182963
8600653;" ""Nordhavn st""";725584;6179159
8600783;" ""Ny Ellebjerg st""";721165;6172997
8600642;" ""Nørrebro st""";722295;6178458
8600646;" ""Nørreport st""";724501;6176587
8600658;" ""Ordrup st""";724816;6185526
8600702;" ""Peter Bangs Vej st""";720262;6175873
8600644;" ""Ryparken st""";723574;6180142
8600680;" ""Rødovre st""";717523;6174200
8600761;" ""Sjælør st""";721911;6172963
8600693;" ""Skovbrynet st""";715297;6185278
8600707;" ""Skovlunde st""";713742;6180473
8600790;" ""Solrød Strand st""";703077;6158845
8600636;" ""Sorgenfri st""";718437;6187228
8600691;" ""Stengården st""";717926;6184446
8600711;" ""Stenløse st""";700152;6184688
8600654;" ""Svanemøllen st""";724738;6180223
8600760;" ""Sydhavn st""";722517;6173330
8600620;" ""Taastrup st""";707749;6172355
8600624;" ""Valby st""";721036;6174285
8600767;" ""Vallensbæk st""";713336;6169359
8600689;" ""Vangede st""";721167;6182728
8600703;" ""Vanløse st""";719406;6176807
8600710;" ""Veksø st""";703235;6183029
8600645;" ""Vesterport st""";723962;6175774
8600804;" ""Vigerslev Alle st""";720068;6173779
8600676;" ""Virum st""";717718;6188792
8600695;" ""Værløse st""";711516;6186972
8600792;" ""Ølby st""";700681;6152764
8600712;" ""Ølstykke st""";698066;6187854
8600650;" ""Østerport st""";725481;6177709
8600741;" ""Ålholm st""";719648;6175144
8600763;" ""Åmarken st""";720243;6171578
